Constituency_No,Constituency_Name,Constituency_Type,Total_Electors,Candidate_S_No,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percentage_of_Valid_Votes,Percentage_of_Total_Electors,Turnout_General,Turnout_Postal,Turnout_Total,Turnout_Percentage
4,ADARSH NAGAR,GENERAL,177458,3,SHIVANK SINGAL,MALE,30,GENERAL,INC,Hand,5442,18,5460,5.43,3.08,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,4,NOTA,,,NOTA,NOTA,374,3,377,0.38,0.21,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,5,ABDUL ZABBAR,MALE,61,GENERAL,BSP,Elephant,343,1,344,0.34,0.19,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,6,RAM NIWAS,MALE,49,SC,IND,Bat,140,0,140,0.14,0.08,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,7,SANJEEV KUMAR RANA,MALE,56,GENERAL,CPI,Ears of corn and sickle,133,0,133,0.13,0.07,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,8,VIJAY KR. AGGARWAL,MALE,63,GENERAL,IND,Diamond,116,0,116,0.12,0.07,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,9,NEETU SINGH,FEMALE,44,SC,IND,Battery Torch,111,0,111,0.11,0.06,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,10,AYUSH GUPTA,MALE,25,GENERAL,IND,Brush,64,0,64,0.06,0.04,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,11,PRIYA,FEMALE,29,SC,AMJNMTP,Auto-rickshaw,56,0,56,0.06,0.03,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,12,PREM CHAND,MALE,64,GENERAL,RSTJLKPS,Cot,41,0,41,0.04,0.02,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,13,SANJAY YADAV ADVOCATE,MALE,46,GENERAL,PPID,Basket containing Fruits,35,0,35,0.03,0.02,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,14,VISHAL SINGH,MALE,27,GENERAL,NYP,Belt,27,0,27,0.03,0.02,100101,359,100460,56.61
4,ADARSH NAGAR,GENERAL,177458,15,MD: RAHMAT ALI,MALE,42,GENERAL,NRCP,Bucket,18,0,18,0.02,0.01,100101,359,100460,56.61
5,BADLI,GENERAL,238865,1,AAHIR DEEPAK CHAUDHARYY,MALE,40,GENERAL,BJP,Lotus,61011,181,61192,40.56,25.62,150495,371,150866,63.16
